leto,mesto,naslov,izvajalec
2015,1, Uptown Funk ,Mark Ronson
2015,1, Uptown Funk ,Bruno Mars
2015,2, Thinking Out Loud ,Ed Sheeran
2015,3, See You Again ,Wiz Khalifa
2015,3, See You Again ,Charlie Puth
2015,4, Trap Queen ,Fetty Wap
2015,5, Sugar ,Maroon 5
2015,6, Shut Up and Dance ,Walk The Moon
2015,7, Blank Space ,Taylor Swift
2015,8, Watch Me ,Silentó
2015,9, Earned It ,The Weeknd
2015,10, The Hills ,The Weeknd
2015,11, Cheerleader ( Felix Jaehn Remix),OMI
2015,12, Can't Feel My Face ,The Weeknd
2015,13, Love Me Like You Do ,Ellie Goulding
2015,14, Take Me to Church ,Hozier
2015,15, Bad Blood ,Taylor Swift
2015,15, Bad Blood ,Kendrick Lamar
2015,16, Lean On ,Major Lazer
2015,16, Lean On ,Dj Snake
2015,16, Lean On ,MØ
2015,17, Want to Want Me ,Jason Derulo
2015,18, Shake It Off ,Taylor Swift
2015,19, Where Are Ü Now ,Skrillex
2015,19, Where Are Ü Now ,Diplo
2015,19, Where Are Ü Now ,Jack Ü
2015,19, Where Are Ü Now ,Justin Bieber
2015,20, Fight Song ,Rachel Platten
2015,21, 679 ,Fetty Wap
2015,21, 679 ,Remy Boyz
2015,22, Lips Are Movin ,Meghan Trainor
2015,23, Worth It ,Fifth Harmony
2015,23, Worth It ,Kid Ink
2015,24, Post to Be ,Omarion
2015,24, Post to Be ,Chris Brown
2015,24, Post to Be ,Jhené Aiko
2015,25," Honey, I'm Good. ",Andy Grammer
2015,26, I'm Not the Only One ,Sam Smith
2015,27, Good for You ,Selena Gomez
2015,27, Good for You ,Asap Rocky
2015,28, All About That Bass ,Meghan Trainor
2015,29, Style ,Taylor Swift
2015,30, Hotline Bling ,Drake
2015,31, Hey Mama ,David Guetta
2015,31, Hey Mama ,Nicki Minaj
2015,31, Hey Mama ,Bebe Rexha
2015,31, Hey Mama ,Afrojack
2015,32, G.D.F.R. ,Flo Rida
2015,32, G.D.F.R. ,Sage The Gemini
2015,32, G.D.F.R. ,Lookas
2015,33, What Do You Mean? ,Justin Bieber
2015,34, Photograph ,Ed Sheeran
2015,35, Hello ,Adele
2015,36, Stitches ,Shawn Mendes
2015,37, Talking Body ,Tove Lo
2015,38, Jealous ,Nick Jonas
2015,39, Time of Our Lives ,Pitbull
2015,39, Time of Our Lives ,Ne-Yo
2015,40, Locked Away ,R. City
2015,40, Locked Away ,Adam Levine
2015,41, Somebody ,Natalie La Rose
2015,41, Somebody ,Jeremih
2015,42, FourFiveSeconds ,Rihanna
2015,42, FourFiveSeconds ,Kanye West
2015,42, FourFiveSeconds ,Paul Mccartney
2015,43, Centuries ,Fall Out Boy
